#1
double swsls(384,2)
#epoch	power
1550827800	4200
1550828700	3600
1550829600	4900
1550830500	5200
1550831400	5800
1550832300	6500
1550833200	7000
1550834100	8300
1550835000	9600
1550835900	8800
1550836800	10400
1550837700	11800
1550838600	15500
1550839500	21300
1550840400	8200
1550841300	9300
1550842200	3800
1550843100	7200
1550844000	17000
1550844900	18000
1550845800	4800
1550846700	14100
1550847600	14900
1550848500	8300
1550849400	18000
1550850300	15400
1550851200	10800
1550852100	5100
1550853000	2500
1550853900	1300
1550854800	300
1550855700	0
1550856600	0
1550857500	0
1550858400	0
1550859300	0
1550860200	0
1550861100	0
1550862000	0
1550862900	0
1550863800	0
1550864700	0
1550865600	0
1550866500	0
1550867400	0
1550868300	0
1550869200	0
1550870100	0
1550871000	0
1550871900	0
1550872800	0
1550873700	0
1550874600	0
1550875500	0
1550876400	0
1550877300	0
1550878200	0
1550879100	0
1550880000	0
1550880900	0
1550881800	0
1550882700	0
1550883600	0
1550884500	0
1550885400	0
1550886300	0
1550887200	0
1550888100	0
1550889000	0
1550889900	0
1550890800	0
1550891700	0
1550892600	0
1550893500	0
1550894400	0
1550895300	0
1550896200	0
1550897100	0
1550898000	0
1550898900	0
1550899800	0
1550900700	0
1550901600	0
1550902500	0
1550903400	0
1550904300	300
1550905200	900
1550906100	1400
1550907000	1900
1550907900	2300
1550908800	3200
1550909700	3900
1550910600	5500
1550911500	7200
1550912400	8700
1550913300	11000
1550914200	12900
1550915100	14900
1550916000	17000
1550916900	18800
1550917800	20900
1550918700	23000
1550919600	22500
1550920500	24100
1550921400	24100
1550922300	23100
1550923200	23900
1550924100	24000
1550925000	26200
1550925900	27000
1550926800	23900
1550927700	20600
1550928600	20900
1550929500	19300
1550930400	16200
1550931300	17900
1550932200	21000
1550933100	18200
1550934000	11800
1550934900	11400
1550935800	9700
1550936700	7800
1550937600	6000
1550938500	4200
1550939400	2800
1550940300	1400
1550941200	600
1550942100	200
1550943000	0
1550943900	0
1550944800	0
1550945700	0
1550946600	0
1550947500	0
1550948400	0
1550949300	0
1550950200	0
1550951100	0
1550952000	0
1550952900	0
1550953800	0
1550954700	0
1550955600	0
1550956500	0
1550957400	0
1550958300	0
1550959200	0
1550960100	0
1550961000	0
1550961900	0
1550962800	0
1550963700	0
1550964600	0
1550965500	0
1550966400	0
1550967300	0
1550968200	0
1550969100	0
1550970000	0
1550970900	0
1550971800	0
1550972700	0
1550973600	0
1550974500	0
1550975400	0
1550976300	0
1550977200	0
1550978100	0
1550979000	0
1550979900	0
1550980800	0
1550981700	0
1550982600	0
1550983500	0
1550984400	0
1550985300	0
1550986200	0
1550987100	0
1550988000	0
1550988900	0
1550989800	0
1550990700	200
1550991600	500
1550992500	600
1550993400	800
1550994300	1100
1550995200	1600
1550996100	2300
1550997000	4000
1550997900	5900
1550998800	8800
1550999700	11600
1551000600	14100
1551001500	16200
1551002400	18100
1551003300	19900
1551004200	21900
1551005100	23300
1551006000	24700
1551006900	25900
1551007800	27000
1551008700	27900
1551009600	28500
1551010500	29000
1551011400	29300
1551012300	29500
1551013200	29600
1551014100	29400
1551015000	28700
1551015900	27700
1551016800	26800
1551017700	26900
1551018600	26600
1551019500	25500
1551020400	24300
1551021300	22700
1551022200	20900
1551023100	19000
1551024000	16200
1551024900	10500
1551025800	5000
1551026700	1400
1551027600	400
1551028500	100
1551029400	0
1551030300	0
1551031200	0
1551032100	0
1551033000	0
1551033900	0
1551034800	0
1551035700	0
1551036600	0
1551037500	0
1551038400	0
1551039300	0
1551040200	0
1551041100	0
1551042000	0
1551042900	0
1551043800	0
1551044700	0
1551045600	0
1551046500	0
1551047400	0
1551048300	0
1551049200	0
1551050100	0
1551051000	0
1551051900	0
