#1
double ashland(8897,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
970446900	11	0	10	10	0	0	0.1	21.6
970447200	9	0	9	8	0	0	0.1	21.2
970447500	7	0	7	7	0	0	0.7	21.0
970447800	5	0	5	5	0	0	0.7	20.6
970448100	4	0	4	4	0	0	0.3	20.8
970448400	3	0	3	2	0	0	0.2	20.6
970448700	1	0	1	1	0	0	0.1	20.7
970449000	0	0	0	0	0	0	0.5	20.7
970449300	0	0	0	0	0	0	0.4	20.5
970449600	0	0	0	0	0	0	0.2	20.3
970449900	0	0	0	0	0	0	0.5	20.3
970450200	0	0	0	0	0	0	0.6	20.2
970450500	0	0	0	0	0	0	0.2	20.1
970450800	0	0	0	0	0	0	0.6	20.5
970451100	0	0	0	0	0	0	0.4	20.3
970451400	0	0	0	0	0	0	0.4	20.3
970451700	0	0	0	0	0	0	0.4	20.1
970452000	0	0	0	0	0	0	0.3	20.2
970452300	0	0	0	0	0	0	0.7	20.3
970452600	0	0	0	0	0	0	1.1	20.2
970452900	0	0	0	0	0	0	1.1	20.0
970453200	0	0	0	0	0	0	0.9	19.9
970453500	0	0	0	0	0	0	1.0	19.6
970453800	0	0	0	0	0	0	0.8	19.5
970454100	0	0	0	0	0	0	0.8	19.4
970454400	0	0	0	0	0	0	0.9	19.3
970454700	0	0	0	0	0	0	0.8	19.1
970455000	0	0	0	0	0	0	1.0	19.1
970455300	0	0	0	0	0	0	1.3	19.0
970455600	0	0	0	0	0	0	1.0	18.9
970455900	0	0	0	0	0	0	1.0	18.9
970456200	0	0	0	0	0	0	0.7	18.7
970456500	0	0	0	0	0	0	0.8	18.6
970456800	0	0	0	0	0	0	1.2	18.5
970457100	0	0	0	0	0	0	1.1	18.5
970457400	0	0	0	0	0	0	0.6	18.3
970457700	0	0	0	0	0	0	0.5	18.1
970458000	0	0	0	0	0	0	0.6	18.0
970458300	0	0	0	0	0	0	0.7	18.0
970458600	0	0	0	0	0	0	0.2	17.9
970458900	0	0	0	0	0	0	0.5	17.8
970459200	0	0	0	0	0	0	0.6	17.7
970459500	0	0	0	0	0	0	0.3	17.6
970459800	0	0	0	0	0	0	0.8	17.6
970460100	0	0	0	0	0	0	1.3	17.5
970460400	0	0	0	0	0	0	0.9	17.4
970460700	0	0	0	0	0	0	0.5	17.4
970461000	0	0	0	0	0	0	0.8	17.4
970461300	0	0	0	0	0	0	0.7	17.3
970461600	0	0	0	0	0	0	0.5	17.3
970461900	0	0	0	0	0	0	0.9	17.2
970462200	0	0	0	0	0	0	0.5	17.2
970462500	0	0	0	0	0	0	1.0	17.1
970462800	0	0	0	0	0	0	0.5	17.0
970463100	0	0	0	0	0	0	1.1	16.9
970463400	0	0	0	0	0	0	0.5	16.9
970463700	0	0	0	0	0	0	0.4	17.0
970464000	0	0	0	0	0	0	0.1	17.0
970464300	0	0	0	0	0	0	0.3	17.0
970464600	0	0	0	0	0	0	0.2	17.1
970464900	0	0	0	0	0	0	0.4	16.9
970465200	0	0	0	0	0	0	0.4	16.8
970465500	0	0	0	0	0	0	0.3	16.8
970465800	0	0	0	0	0	0	0.1	16.6
970466100	0	0	0	0	0	0	0.1	16.5
970466400	0	0	0	0	0	0	0.2	16.5
970466700	0	0	0	0	0	0	0.1	16.5
970467000	0	0	0	0	0	0	0.0	16.3
970467300	0	0	0	0	0	0	0.5	16.3
970467600	0	0	0	0	0	0	0.2	16.3
970467900	0	0	0	0	0	0	0.1	16.3
970468200	0	0	0	0	0	0	0.0	16.1
970468500	0	0	0	0	0	0	0.0	15.5
970468800	0	0	0	0	0	0	0.0	15.3
970469100	0	0	0	0	0	0	0.1	15.0
970469400	0	0	0	0	0	0	0.0	14.3
970469700	0	0	0	0	0	0	0.0	13.9
